VA,PA,PMU_Type,Rank,Bank,BankGroup
0x7effd185db80,0x2e3fb6b80,17,0,5,1
0x7f0184eec800,0x1e4012800,13,0,4,0
0x7f0045371180,0x1e41f2180,16,0,1,1
0x7effb3f7ad80,0x288330d80,16,0,7,3
0x7effef92ad00,0x1eef78d00,16,0,6,2
0x7eff968fe400,0x2e4fdc400,13,0,2,2
0x7f000f4df800,0x1ff72a800,13,0,4,0
0x7f00535a5700,0x20039e700,17,0,2,2
0x7f003a975e80,0x202a6fe80,14,0,15,3
0x7f012d952a80,0x17788da80,14,0,13,1
0x7f0189bd9f00,0x205afbf00,17,0,14,2
0x7f00c53dca80,0x1e17c8a80,14,0,5,1
0x7f00d7347c00,0x229fd3c00,13,0,14,2
0x7f0137ba9980,0x213b67980,16,0,13,1
0x7f011d368000,0x2876bb000,13,0,8,0
0x7f00c11df280,0x2afa69280,14,0,9,1
0x7f01340ccc00,0x328a89c00,13,0,14,2
0x7eff971b9d00,0x155334d00,16,0,6,2
0x7f0087006700,0x270ee7700,17,0,10,2
0x7effaeb72a00,0x200c81a00,14,0,12,0
0x7f003e59eb80,0x267423b80,17,0,13,1
0x7f00a19cd000,0x2029df000,13,0,8,0
0x7f002b5f7e80,0x2c1ab8e80,14,0,7,3
0x7f0004ac3f80,0x20c14cf80,17,0,7,3
0x7f017ce1d400,0x20b2b7400,13,0,10,2
0x7f002dcf7900,0x2b6415900,16,0,12,0
0x7f003d9e5400,0x2e9bfd400,13,0,10,2
0x7f018a652280,0x2bc1aa280,14,0,1,1
0x7f009ed3d080,0x2be8a4080,13,0,1,1
0x7f00aa7f7200,0x32d677200,14,0,8,0
0x7f00cb5a0100,0x2bdbde100,16,0,0,0
0x7effe4e38c00,0x32de07c00,13,0,14,2
0x7f00d646ff80,0x2c1816f80,17,0,7,3
0x7effe3478b00,0x2e4ff0b00,17,0,4,0
0x7f013c2f5400,0x32a1d1400,13,0,10,2
0x7f00a3f75b00,0x1facccb00,17,0,4,0
0x7f006fe2a380,0x2bd2ca380,17,0,1,1
0x7effa54e0300,0x328151300,17,0,8,0
0x7f005f283280,0x2b9bbd280,14,0,9,1
0x7f013755df80,0x274091f80,17,0,15,3
0x7f00b2d88d80,0x2bd397d80,16,0,15,3
0x7effa0c65980,0x1e9b07980,16,0,13,1
0x7f001fcf7c80,0x205e3cc80,13,0,7,3
0x7f00a2e69180,0x2bbbd4180,16,0,1,1
0x7effd1e81800,0x32abf1800,13,0,12,0
0x7eff9aca7d80,0x20b9d4d80,16,0,7,3
0x7effe5a04900,0x2b1d6c900,16,0,4,0
0x7f00b545c680,0x22b4f4680,14,0,3,3
0x7f014a4a1300,0x20a92f300,17,0,8,0
0x7f016dcb8f80,0x285dbff80,17,0,15,3
0x7f00b9a8e680,0x205fe6680,14,0,3,3
0x7eff939f8700,0x214b5d700,17,0,10,2
0x7effe873f580,0x2b7692580,16,0,3,3
0x7effd7ea8c80,0x2c0439c80,13,0,15,3
0x7effea04ad00,0x2c545ed00,16,0,6,2
0x7effd8c30f00,0x1fd701f00,17,0,14,2
0x7f002802a500,0x2b502c500,16,0,2,2
0x7f00de70fc00,0x2ba77bc00,13,0,14,2
0x7f009ed1c500,0x205f7a500,16,0,2,2
0x7f0113924f00,0x2b222cf00,17,0,6,2
0x7effbeda7200,0x32b26c200,14,0,0,0
0x7f004c18d680,0x1f9ce4680,14,0,3,3
0x7f00aca7b680,0x229ee1680,14,0,11,3
0x7f01347ee380,0x32e9a6380,17,0,1,1
0x7f004888ce80,0x22d727e80,14,0,15,3
0x7f0188881080,0x2028f3080,13,0,9,1
0x7f00592a3d80,0x2bf625d80,16,0,15,3
0x7f013dda2000,0x2c560d000,13,0,8,0
0x7f00fa320200,0x28ff94200,14,0,0,0
0x7f006cd73c00,0x2b0008c00,13,0,6,2
0x7f010921f900,0x2b73d1900,16,0,12,0
0x7f00eeb0ca00,0x2bda59a00,14,0,12,0
0x7f0010c09400,0x2b21e9400,13,0,10,2
0x7eff9b139f80,0x20c2eff80,17,0,15,3
0x7f00a8963400,0x2c1118400,13,0,2,2
0x7effb1691700,0x203600700,17,0,2,2
0x7f008f9f9b80,0x32aa5ab80,17,0,5,1
0x7f0054884100,0x1f46f6100,16,0,0,0
0x7effcc7d6b00,0x26b9d5b00,17,0,12,0
0x7f014255fb80,0x26495ab80,17,0,5,1
0x7f00c66e7800,0x328ec9800,13,0,12,0
0x7f0017d4cf00,0x32b739f00,17,0,14,2
0x7f00f7228400,0x2c0110400,13,0,2,2
0x7f00f7d3c980,0x217452980,16,0,5,1
0x7f005d107c00,0x26e7a1c00,13,0,14,2
0x7effd8281500,0x32bb72500,16,0,2,2
0x7f0017e23080,0x275cfa080,13,0,1,1
0x7f008e73f300,0x2c2a9f300,17,0,8,0
0x7f0169178580,0x2b68e2580,16,0,3,3
0x7f0040d1fe80,0x32e38ce80,14,0,7,3
0x7f000d4a6180,0x2f1c94180,16,0,1,1
0x7effcdbb4000,0x2e5836000,13,0,0,0
0x7effa059e300,0x1fed66300,17,0,0,0
0x7f016c4e2f00,0x32f64cf00,17,0,6,2
0x7f0067678600,0x2c4262600,14,0,2,2
0x7f016e7a6800,0x28623c800,13,0,4,0
0x7effbd9f1680,0x2c08ae680,14,0,3,3
0x7f01048b9480,0x1ffcd2480,13,0,3,3
0x7f01311b0680,0x2b110d680,14,0,11,3
0x7f0085b30080,0x20c4ce080,13,0,1,1
0x7efff2a74380,0x2c44c4380,17,0,1,1
0x7efff57ad780,0x32ca14780,17,0,3,3
0x7f016550d500,0x2c598c500,16,0,2,2
0x7efffdc91900,0x2eadd3900,16,0,12,0
0x7effab933d00,0x32e103d00,16,0,14,2
0x7f017eb2f480,0x32ed04480,13,0,3,3
0x7f0019f30d00,0x1effafd00,16,0,14,2
0x7effb6647b80,0x2b864fb80,17,0,13,1
0x7f0110ce9580,0x32d91e580,16,0,3,3
0x7efff5c11e80,0x28c963e80,14,0,15,3
0x7effc473b500,0x2c267c500,16,0,2,2
0x7effe628fa80,0x2be2c6a80,14,0,5,1
0x7effdca79e00,0x3285e8e00,14,0,6,2
0x7f0175714680,0x2318e1680,14,0,11,3
0x7f0171b0cd00,0x2ba51fd00,16,0,14,2
0x7f01750b0700,0x218a2f700,17,0,10,2
0x7effe09c3d80,0x2bec00d80,16,0,7,3
0x7f01237e6480,0x2b6c8d480,13,0,11,3
0x7effeb118900,0x2ce2b8900,16,0,4,0
0x7f0096724d80,0x2b06fbd80,16,0,15,3
0x7f017a7f7580,0x2b07dc580,16,0,3,3
0x7f009f1f4500,0x2e5a2b500,16,0,10,2
0x7f0067b05680,0x32ab81680,14,0,11,3
0x7f004adc5380,0x2b704a380,17,0,1,1
0x7f00d2d34b80,0x1e84dcb80,17,0,5,1
0x7efff151e800,0x1f9655800,13,0,12,0
0x7f009af5d900,0x2ee3c1900,16,0,12,0
0x7f00fcf6ac80,0x2e5594c80,13,0,7,3
0x7f011fcc5180,0x20bec3180,16,0,9,1
0x7f00427cfb80,0x2862f2b80,17,0,5,1
0x7effe4291b00,0x20825eb00,17,0,4,0
0x7f001b720f00,0x2ba773f00,17,0,14,2
0x7effc6aac100,0x2bd4b3100,16,0,8,0
0x7f0057cf4b00,0x32d84cb00,17,0,4,0
0x7f005dd4d200,0x1f8946200,14,0,0,0
0x7f00247df000,0x2e993a000,13,0,0,0
0x7f009f03ba80,0x32f2e4a80,14,0,5,1
0x7f0096e3aa80,0x2c1df6a80,14,0,5,1
0x7f017abdd600,0x32c340600,14,0,2,2
0x7f00d0cfdd80,0x225405d80,16,0,15,3
0x7f006cfa5080,0x2b8eff080,13,0,9,1
0x7f0186f50200,0x2b400b200,14,0,8,0
0x7f013b398880,0x2c41f4880,13,0,5,1
0x7f0120aa8080,0x2eda53080,13,0,9,1
0x7f005e708280,0x2c3be7280,14,0,9,1
0x7f013a1fd900,0x2e424d900,16,0,12,0
0x7effb54c5e80,0x2be299e80,14,0,15,3
0x7f01577bd600,0x2b21c2600,14,0,2,2
0x7f00f81f3c00,0x32b7aac00,13,0,6,2
0x7effb4504980,0x32f38f980,16,0,13,1
0x7f0064299a00,0x2bc241a00,14,0,12,0
0x7f0037e53600,0x273298600,14,0,2,2
0x7f0058884f00,0x2e4646f00,17,0,6,2
0x7f0188fe4600,0x20c3e6600,14,0,2,2
0x7f018225bf00,0x32e1c2f00,17,0,6,2
0x7effaf742680,0x27526d680,14,0,11,3
0x7f00748cc900,0x2b8e95900,16,0,12,0
0x7f0015ad1900,0x23cbe3900,16,0,12,0
0x7f008f71b780,0x22aafa780,17,0,3,3
0x7f0010690c00,0x2bfc04c00,13,0,6,2
0x7effb41bf580,0x32a279580,16,0,11,3
0x7eff9e18b780,0x21280f780,17,0,11,3
0x7f016ab7ad00,0x22ce8cd00,16,0,6,2
0x7effb2fc5380,0x232b3b380,17,0,9,1
0x7f00dffc8f00,0x2019b1f00,17,0,14,2
0x7f015d67d780,0x2bff92780,17,0,3,3
0x7f015cb7b680,0x265fa2680,14,0,3,3
0x7f009c705d80,0x32f65ed80,16,0,7,3
0x7f000332ce80,0x32f35de80,14,0,15,3
0x7f0156a30a80,0x2074e4a80,14,0,5,1
0x7f0045d9a700,0x32b24e700,17,0,2,2
0x7f0031157d00,0x2b1b48d00,16,0,6,2
0x7effa89d3a00,0x2c115aa00,14,0,4,0
0x7effe9c9a200,0x2858a2200,14,0,0,0
0x7effb2370f80,0x265c44f80,17,0,7,3
0x7f00fe0e0c00,0x206ef0c00,13,0,6,2
0x7f00a1587300,0x2bcc58300,17,0,0,0
0x7f0153d83900,0x28bda1900,16,0,12,0
0x7f0017d83180,0x20ad57180,16,0,9,1
0x7f006283ea00,0x2004dba00,14,0,12,0
0x7f016dbe0980,0x2911db980,16,0,13,1
0x7f010497c980,0x2b6887980,16,0,13,1
0x7eff95d5af80,0x2f23caf80,17,0,7,3
0x7f005852a600,0x2eda3e600,14,0,2,2
0x7f00f113ab00,0x2b7045b00,17,0,12,0
0x7f007c7deb80,0x1fbc1db80,17,0,13,1
0x7f016029c200,0x32de4c200,14,0,0,0
0x7f014ff0a280,0x20104a280,14,0,1,1
0x7f003df2de80,0x32893be80,14,0,15,3
0x7f0037f2cd80,0x2c2c6bd80,16,0,15,3
0x7f017f89d300,0x28a269300,17,0,8,0
0x7eff9699d300,0x2c5555300,17,0,8,0
0x7f00b1447d80,0x2b594cd80,16,0,7,3
0x7f00138f4700,0x202489700,17,0,10,2
0x7efff3e37880,0x2f21b4880,13,0,5,1
0x7f01118e4f80,0x2eb622f80,17,0,7,3
0x7f00589bd280,0x201ae9280,14,0,9,1
0x7f00e8b42200,0x3292d1200,14,0,8,0
0x7f00784b2000,0x2852be000,13,0,0,0
0x7f00e896e000,0x2009ea000,13,0,0,0
0x7f0110195900,0x2033eb900,16,0,12,0
0x7f00e4e8fd80,0x267a44d80,16,0,7,3
0x7efffe451400,0x1fcf21400,13,0,10,2
0x7f00e526f700,0x2eb791700,17,0,10,2
0x7f001230c500,0x1ff8d4500,16,0,2,2
0x7effeafec080,0x202902080,13,0,1,1
0x7f00fa377e80,0x2048afe80,14,0,15,3
0x7f009d39bf00,0x328abdf00,17,0,14,2
0x7f0006a77f80,0x2bb53bf80,17,0,15,3
0x7f0130358b00,0x26d18cb00,17,0,4,0
0x7f00d8791700,0x2c0143700,17,0,10,2
0x7f00aec95a00,0x328531a00,14,0,12,0
0x7efffa86d380,0x2bd8ef380,17,0,9,1
0x7effb1a34c00,0x1e2e1fc00,13,0,14,2
0x7f0050212480,0x20c108480,13,0,3,3
0x7effa64d9f00,0x20c3c1f00,17,0,14,2
0x7f008c6bd800,0x2b53f7800,13,0,12,0
0x7f012c1a7880,0x3299bf880,13,0,13,1
0x7f01322d1c80,0x2ccf60c80,13,0,7,3
0x7f001685bf00,0x208d40f00,17,0,6,2
0x7f014d781480,0x328aaa480,13,0,3,3
0x7efff7355a80,0x2e325fa80,14,0,13,1
0x7effcab9f380,0x2b2512380,17,0,1,1
0x7f0042c86f00,0x1f1f88f00,17,0,6,2
0x7f012254ff80,0x2052d0f80,17,0,7,3
0x7effc4894b80,0x32de5ab80,17,0,5,1
0x7f01865eb480,0x22c1db480,13,0,11,3
0x7f0184ffe000,0x1fb568000,13,0,0,0
0x7f013d6d0200,0x2b2612200,14,0,0,0
0x7f0090d45b80,0x2b68cfb80,17,0,13,1
0x7f014ffa3880,0x32eac1880,13,0,13,1
0x7f0167e58480,0x1e2dd3480,13,0,11,3
0x7f0083f57700,0x20b07a700,17,0,2,2
0x7efff633dc80,0x2b7582c80,13,0,7,3
0x7f00815e4d00,0x20a97bd00,16,0,14,2
0x7f00359d5600,0x2b167a600,14,0,2,2
0x7f00e55afb80,0x1fcd87b80,17,0,13,1
0x7efff922d480,0x225bd3480,13,0,11,3
0x7f005bdeaa00,0x32c4d6a00,14,0,4,0
0x7f0026134200,0x2c0922200,14,0,0,0
0x7f0114861d80,0x20b689d80,16,0,15,3
0x7f00fc1ea000,0x2c5073000,13,0,8,0
0x7effd18c1380,0x2e509b380,17,0,9,1
0x7f0054673a00,0x1ffd20a00,14,0,4,0
0x7f00acde8c80,0x287ad6c80,13,0,7,3
0x7f017ba41c80,0x2babfec80,13,0,7,3
0x7f00d7fa7080,0x32a1ec080,13,0,1,1
0x7f006d5bb580,0x2b35f9580,16,0,11,3
0x7efff4a67f00,0x2b6ce2f00,17,0,6,2
0x7f0086af5c00,0x225a4cc00,13,0,6,2
0x7f004fe60e00,0x32d77be00,14,0,14,2
0x7f0123780e00,0x2166a1e00,14,0,14,2
0x7f0037bc4280,0x2c0c9f280,14,0,9,1
0x7f011a72d880,0x2f2041880,13,0,13,1
0x7f002e230680,0x232807680,14,0,11,3
0x7f001d6b7600,0x2ba587600,14,0,10,2
0x7f000e3f8880,0x20c972880,13,0,5,1
0x7f00362ad680,0x2bce1d680,14,0,11,3
0x7f0184457600,0x1650c8600,14,0,2,2
0x7effe8e19180,0x2c0e7a180,16,0,1,1
0x7effc1ea8680,0x2be6b7680,14,0,11,3
0x7effdf19a780,0x207ef2780,17,0,3,3
0x7effe32c3000,0x200ce4000,13,0,0,0
0x7f00ae71bf80,0x1ec2ebf80,17,0,15,3
0x7f0188a1cf80,0x2be45ef80,17,0,7,3
0x7effe6745b00,0x264329b00,17,0,12,0
0x7f012a0aad80,0x2b954dd80,16,0,15,3
0x7f008ee5c700,0x2c3e6d700,17,0,10,2
0x7effe5242c00,0x1e295ec00,13,0,6,2
0x7f0085febc80,0x208faac80,13,0,7,3
0x7effe27b9a00,0x28f942a00,14,0,4,0
0x7f01228d3680,0x202e95680,14,0,11,3
0x7f00cc112880,0x1ce339880,13,0,13,1
0x7f0096a39e80,0x20bb91e80,14,0,15,3
0x7effc1e6fe00,0x2b5729e00,14,0,14,2
0x7f00e6978180,0x2b9497180,16,0,9,1
0x7f00eb27bf00,0x1f760df00,17,0,14,2
0x7effcfd35c00,0x28d86bc00,13,0,14,2
0x7f0117c36680,0x1e2ad3680,14,0,11,3
0x7f0153c37e00,0x201f33e00,14,0,14,2
0x7f0147031700,0x2be500700,17,0,2,2
0x7f000f89f380,0x2b7989380,17,0,9,1
0x7f008ec12280,0x2f19c0280,14,0,1,1
0x7f00e2719480,0x206554480,13,0,3,3
0x7effbb653a00,0x2640eea00,14,0,4,0
0x7f0080c96100,0x1e42e6100,16,0,0,0
0x7f015e776380,0x2b0179380,17,0,9,1
0x7effa538d700,0x2b7c90700,17,0,2,2
0x7f006eab8500,0x2b6830500,16,0,2,2
0x7effa5fc0b00,0x2e404db00,17,0,12,0
0x7f0035fe8600,0x329782600,14,0,2,2
0x7f003f00e780,0x2b4d01780,17,0,11,3
0x7f00c4e19580,0x29072f580,16,0,11,3
0x7f0010971400,0x276f16400,13,0,2,2
0x7f0040363f80,0x1fe24ff80,17,0,15,3
0x7f0157a71200,0x2b7d99200,14,0,8,0
0x7f0037af4b80,0x1dc96cb80,17,0,5,1
0x7f0079e3fb80,0x2ccf56b80,17,0,5,1
0x7effe33da000,0x2c20c3000,13,0,8,0
0x7effef729c80,0x1fc17fc80,13,0,15,3
0x7f00c462c180,0x269e50180,16,0,1,1
0x7efff0208e80,0x2b8d19e80,14,0,15,3
0x7f0090af7500,0x2c0a09500,16,0,10,2
0x7f003eff9180,0x2b2dbc180,16,0,1,1
0x7f010652bb00,0x2c4a59b00,17,0,12,0
0x7f00030a5d00,0x2c00d9d00,16,0,14,2
0x7effa4ac0900,0x285854900,16,0,4,0
0x7f00c2946680,0x2f237d680,14,0,11,3
0x7f009bfc6900,0x2b587c900,16,0,4,0
0x7eff904f7b00,0x2bdf0fb00,17,0,12,0
0x7f004522ed00,0x268abbd00,16,0,14,2
0x7f00fd88df80,0x2b4a59f80,17,0,15,3
0x7f018a447300,0x2ba352300,17,0,0,0
0x7f01615f8680,0x205e9f680,14,0,11,3
0x7f007adf4c00,0x26569ec00,13,0,6,2
0x7f0000c1cd80,0x208c91d80,16,0,15,3
0x7f0160ab0080,0x231f98080,13,0,1,1
0x7effd0391300,0x1fc641300,17,0,8,0
0x7effa158a180,0x2bcd0f180,16,0,9,1
0x7f00fad25000,0x28467c000,13,0,0,0
0x7f00b1512180,0x32ddd1180,16,0,9,1
0x7f0005197e80,0x213328e80,14,0,7,3
0x7effc304d280,0x2b026e280,14,0,1,1
0x7f001c27aa00,0x2c0ce2a00,14,0,4,0
0x7f010d764000,0x3293a9000,13,0,8,0
0x7f0077d0c400,0x2b4fa4400,13,0,2,2
0x7f00e48a9280,0x2c36b1280,14,0,9,1
0x7effc8884600,0x2b2622600,14,0,2,2
0x7f0082e35f80,0x2bf0f6f80,17,0,7,3
0x7f00c26df980,0x28ca27980,16,0,13,1
0x7f004f56d000,0x2babe4000,13,0,0,0
0x7effe9a19900,0x205774900,16,0,4,0
0x7f00612f0380,0x213b5d380,17,0,9,1
0x7f00de792700,0x2b7eca700,17,0,2,2
0x7f0162303180,0x2b0e05180,16,0,9,1
0x7f0084cfe200,0x229d1e200,14,0,0,0
0x7f0078c50480,0x2b75a5480,13,0,11,3
0x7f012b1b5e00,0x2b1b1ce00,14,0,6,2
0x7effc8342600,0x1e1693600,14,0,10,2
0x7f00cf67f280,0x20c39d280,14,0,9,1
0x7f0076d70d80,0x2aca12d80,16,0,7,3
0x7f0111607380,0x2c5f73380,17,0,9,1
0x7eff90af3b00,0x1ff9cfb00,17,0,12,0
0x7f01534d8600,0x1f8205600,14,0,10,2
0x7effb66d6700,0x2afc2e700,17,0,2,2
0x7f0049f22600,0x262ffb600,14,0,10,2
0x7f003d882700,0x32d734700,17,0,2,2
0x7effad62e800,0x26ca07800,13,0,12,0
0x7f008a0b4b80,0x329f70b80,17,0,5,1
0x7f0147dbaf80,0x2c4838f80,17,0,7,3
0x7effe1c46680,0x2c04ff680,14,0,11,3
0x7effecd9b080,0x2b4b5f080,13,0,9,1
0x7f010fb1d280,0x2b4fb4280,14,0,1,1
0x7eff97702280,0x2bfc87280,14,0,9,1
0x7f016e54f700,0x26fcac700,17,0,2,2
0x7effb4ad3f00,0x2bdfe2f00,17,0,6,2
0x7f0138adac00,0x3297d5c00,13,0,14,2
0x7effe1aa8480,0x23281d480,13,0,11,3
0x7f00a6934c80,0x2bd21fc80,13,0,15,3
0x7effb70c6180,0x1e0a3d180,16,0,9,1
0x7f0036506a80,0x32a397a80,14,0,13,1
0x7f011761cb00,0x2f1cd3b00,17,0,12,0
0x7f009caf2700,0x328809700,17,0,10,2
0x7f00ebac9c00,0x28501bc00,13,0,14,2
0x7f0105bda280,0x2850bf280,14,0,9,1
0x7f003912d000,0x2910ab000,13,0,8,0
0x7f0139d0be00,0x28a30de00,14,0,14,2
0x7f0067a85400,0x2bd7e2400,13,0,2,2
0x7eff9f7e6f00,0x328e07f00,17,0,14,2
0x7f0163856980,0x2e4fda980,16,0,5,1
0x7eff960d6c00,0x272d06c00,13,0,6,2
0x7f00b69c4a80,0x287a1da80,14,0,13,1
0x7f01245d3b00,0x2e45b4b00,17,0,4,0
0x7f00f734df80,0x28d079f80,17,0,15,3
0x7f01135bba80,0x328874a80,14,0,5,1
0x7f00490e1b80,0x329613b80,17,0,13,1
0x7f00dadca900,0x2f2141900,16,0,12,0
0x7f017ba19700,0x2050c3700,17,0,10,2
0x7f0034d17a00,0x2b63cea00,14,0,4,0
0x7f00c3632280,0x209c4d280,14,0,9,1
0x7f00d7735f00,0x2b0825f00,17,0,14,2
0x7f00972e0580,0x20f505580,16,0,11,3
0x7efff0ff5300,0x2b6bac300,17,0,0,0
0x7f012b638e00,0x2b20e3e00,14,0,14,2
0x7f01430bb080,0x1527e3080,13,0,9,1
0x7f013aee0880,0x2b587d880,13,0,13,1
0x7effa7b88000,0x208217000,13,0,8,0
0x7f00f4f11480,0x202099480,13,0,11,3
0x7f00ca6e0300,0x2b9442300,17,0,0,0
0x7eff9d232300,0x1e3ff7300,17,0,8,0
0x7f0162041580,0x2b08df580,16,0,11,3
0x7f014c92c280,0x1cd21c280,14,0,1,1
0x7effa03e0580,0x2106c8580,16,0,3,3
0x7f0165896e80,0x3292d6e80,14,0,7,3
0x7f00cd9f6d00,0x2bb92bd00,16,0,14,2
0x7f01853b7c00,0x2bec43c00,13,0,14,2
0x7f016d7f6400,0x266548400,13,0,2,2
0x7f015af3c980,0x206b91980,16,0,13,1
0x7effcf5cbb80,0x32f494b80,17,0,5,1
0x7f0040995980,0x23082d980,16,0,13,1
0x7effb8dd2f00,0x2eb5f6f00,17,0,6,2
0x7f00fb9e6880,0x2c3e54880,13,0,5,1
0x7f0081ae9600,0x2bd215600,14,0,10,2
0x7f00ef484a00,0x32de65a00,14,0,12,0
0x7f0080525180,0x233e84180,16,0,1,1
0x7f00e7033680,0x1edb2b680,14,0,11,3
0x7f014e398c80,0x2e4559c80,13,0,15,3
0x7f002bd40580,0x2037fc580,16,0,3,3
0x7f0079673300,0x2011aa300,17,0,0,0
0x7f00da23f200,0x2bdb3e200,14,0,0,0
0x7f0119e6e500,0x2b46c0500,16,0,2,2
0x7f0189364c00,0x2883c3c00,13,0,14,2
0x7f0098e5d000,0x32c1eb000,13,0,8,0
0x7f006101e080,0x1fa9d6080,13,0,1,1
0x7f003e1e4d00,0x32d857d00,16,0,14,2
0x7f006bc7d780,0x2c3bee780,17,0,3,3
0x7f016abf7c80,0x32db5ac80,13,0,7,3
0x7f00cf2e0b00,0x32e9e3b00,17,0,12,0
0x7efffa929d00,0x32d9c7d00,16,0,14,2
0x7f0054a78b80,0x2baf87b80,17,0,13,1
0x7f0115fea300,0x1f7888300,17,0,0,0
0x7f0044d83580,0x2101b8580,16,0,3,3
0x7efff1dd9b80,0x2e9b40b80,17,0,5,1
0x7f00a74ca180,0x2c35e6180,16,0,1,1
0x7effd5a68f00,0x32fc01f00,17,0,14,2
0x7effe1684e80,0x2bae24e80,14,0,7,3
0x7f0056ece200,0x32b247200,14,0,8,0
0x7f0061909d80,0x1dc924d80,16,0,7,3
0x7f005b659080,0x2834aa080,13,0,1,1
0x7f000e321d80,0x26db65d80,16,0,15,3
0x7f00b54a9880,0x328879880,13,0,13,1
0x7f00111c3a00,0x22a662a00,14,0,4,0
0x7f00997d1500,0x32c0ef500,16,0,10,2
0x7f001d950800,0x2ee2e2800,13,0,4,0
0x7f01715d7a80,0x32c418a80,14,0,5,1
0x7effbc118100,0x32d041100,16,0,8,0
0x7f0027843600,0x23399a600,14,0,2,2
0x7effc9b12d00,0x1ebad3d00,16,0,14,2
0x7eff9332d200,0x20acd9200,14,0,8,0
0x7f00a0c38000,0x1e0bd3000,13,0,8,0
0x7f00b48b4280,0x164c4b280,14,0,9,1
0x7f00a703b580,0x2c4fee580,16,0,3,3
0x7f00a4e74900,0x2ee357900,16,0,12,0
0x7f002c67b680,0x2bdf01680,14,0,11,3
0x7f013a43b180,0x2be303180,16,0,9,1
0x7f00f16d9780,0x22cd0b780,17,0,11,3
0x7f0147b0a900,0x329617900,16,0,12,0
0x7f001d353f80,0x2badacf80,17,0,7,3
0x7efff570f680,0x275dd8680,14,0,3,3
0x7f0126da5080,0x265f35080,13,0,9,1
0x7f004323bb00,0x1e6576b00,17,0,4,0
0x7f0106c76f00,0x1fd768f00,17,0,6,2
0x7f016df26800,0x32dfd7800,13,0,12,0
0x7effd026a280,0x28755f280,14,0,9,1
0x7effab934b80,0x32ad1db80,17,0,13,1
0x7effb09b7b80,0x20ac6ab80,17,0,5,1
0x7f001fb2d100,0x32dd12100,16,0,0,0
0x7f0113b39300,0x32b80a300,17,0,0,0
0x7f00b1506480,0x269f19480,13,0,11,3
0x7f00aa03d400,0x2c4076400,13,0,2,2
0x7effa4d1fe00,0x32d99be00,14,0,14,2
0x7f00443f4080,0x328e98080,13,0,1,1
0x7f014d181d00,0x20221ad00,16,0,6,2
0x7f0155cd4580,0x2bb076580,16,0,3,3
0x7efff35ba780,0x32c149780,17,0,11,3
0x7f0046f46580,0x2b6198580,16,0,3,3
0x7f006eb04780,0x2b55fd780,17,0,11,3
0x7f009fc43400,0x2b977c400,13,0,2,2
0x7f016cd15100,0x328600100,16,0,0,0
0x7f007ae4ca00,0x28c7d6a00,14,0,4,0
0x7f004a71d980,0x203cab980,16,0,13,1
0x7f0173200b00,0x1f3317b00,17,0,12,0
0x7efffe3c5680,0x2bdec2680,14,0,3,3
0x7effd35ba580,0x2c120b580,16,0,11,3
0x7f00340bc780,0x2b58da780,17,0,3,3
0x7f007ebdb200,0x32d8fa200,14,0,0,0
0x7f00c0edc580,0x2b05ac580,16,0,3,3
0x7effa5fd4d00,0x284983d00,16,0,14,2
0x7f00b38e5300,0x286e32300,17,0,0,0
0x7f00572bd680,0x2c3e73680,14,0,11,3
0x7f00ed8f0880,0x22ce36880,13,0,5,1
0x7eff9b063d80,0x20afa0d80,16,0,7,3
0x7f005978f100,0x2ba641100,16,0,8,0
0x7effa8fedf80,0x2e723bf80,17,0,15,3
0x7f002fd22900,0x32fc2b900,16,0,12,0
0x7eff94cbbf00,0x266c3cf00,17,0,6,2
0x7f013700cf00,0x2bb47af00,17,0,6,2
0x7effd8058d80,0x285784d80,16,0,7,3
0x7f0184dc4800,0x329e3b800,13,0,12,0
0x7f007566c180,0x28850a180,16,0,1,1
0x7f00d55d8d00,0x209211d00,16,0,14,2
0x7effa362b580,0x32d790580,16,0,3,3
0x7f0169be4600,0x20398d600,14,0,10,2
0x7f015cee1500,0x1faae7500,16,0,10,2
0x7f016a477500,0x1ff05c500,16,0,2,2
0x7f002e537400,0x32aaf2400,13,0,2,2
0x7f001ed70800,0x2bb172800,13,0,4,0
0x7eff9932ad80,0x207b27d80,16,0,15,3
0x7f00d0410380,0x1e44d1380,17,0,9,1
0x7f00c1371b80,0x329d21b80,17,0,13,1
0x7f00cbb21700,0x32b274700,17,0,2,2
0x7eff90f40f80,0x286171f80,17,0,15,3
0x7eff930b8480,0x2b43c0480,13,0,3,3
0x7efff00cec00,0x32e2fbc00,13,0,14,2
0x7effc3f7b080,0x206632080,13,0,1,1
0x7effe16cbc00,0x2ee28dc00,13,0,14,2
0x7effcc350100,0x32de33100,16,0,8,0
0x7f0156bd7000,0x2c0304000,13,0,0,0
0x7f00354c5400,0x287800400,13,0,2,2
0x7effaedcc080,0x32e9f6080,13,0,1,1
0x7f003d625100,0x328ea8100,16,0,0,0
0x7f016c872680,0x26da5c680,14,0,3,3
0x7f0178a6c680,0x32c148680,14,0,3,3
0x7f00ef263280,0x2f20e6280,14,0,1,1
0x7f00c4084180,0x2b7922180,16,0,1,1
0x7f008f17d700,0x203a47700,17,0,10,2
0x7f0060fd0880,0x2bf0af880,13,0,13,1
0x7f00780a1e80,0x23e2e0e80,14,0,7,3
0x7f004da26380,0x2b05aa380,17,0,1,1
